STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:UKM00003334,MANCHESTER UK,20010902,173,-9999
GHCND:UKM00003334,MANCHESTER UK,20010903,171,120
GHCND:UKM00003334,MANCHESTER UK,20010904,166,-9999
GHCND:UKM00003334,MANCHESTER UK,20010905,-9999,89
GHCND:UKM00003334,MANCHESTER UK,20010906,169,-9999
GHCND:UKM00003334,MANCHESTER UK,20010907,186,130
GHCND:UKM00003334,MANCHESTER UK,20010908,162,-9999
GHCND:UKM00003334,MANCHESTER UK,20010909,-9999,76
GHCND:UKM00003334,MANCHESTER UK,20010910,152,63
GHCND:UKM00003334,MANCHESTER UK,20010913,136,-9999
GHCND:UKM00003334,MANCHESTER UK,20010914,169,49
GHCND:UKM00003334,MANCHESTER UK,20010915,147,-9999
GHCND:UKM00003334,MANCHESTER UK,20010916,165,84
GHCND:UKM00003334,MANCHESTER UK,20010917,136,68
GHCND:UKM00003334,MANCHESTER UK,20010918,157,99
GHCND:UKM00003334,MANCHESTER UK,20010920,171,106
GHCND:UKM00003334,MANCHESTER UK,20010921,131,96
GHCND:UKM00003334,MANCHESTER UK,20010922,163,-9999
GHCND:UKM00003334,MANCHESTER UK,20010923,145,76
GHCND:UKM00003334,MANCHESTER UK,20010924,152,-9999
GHCND:UKM00003334,MANCHESTER UK,20010925,148,-9999
GHCND:UKM00003334,MANCHESTER UK,20010927,178,119
GHCND:UKM00003334,MANCHESTER UK,20010928,214,133
GHCND:UKM00003334,MANCHESTER UK,20010929,203,-9999
GHCND:UKM00003334,MANCHESTER UK,20010930,175,124
GHCND:UKM00003334,MANCHESTER UK,20011001,187,114
GHCND:UKM00003334,MANCHESTER UK,20011002,174,-9999
GHCND:UKM00003334,MANCHESTER UK,20011003,-9999,95
GHCND:UKM00003334,MANCHESTER UK,20011004,167,-9999
GHCND:UKM00003334,MANCHESTER UK,20011005,187,-9999
GHCND:UKM00003334,MANCHESTER UK,20011006,173,-9999
GHCND:UKM00003334,MANCHESTER UK,20011007,155,-9999
GHCND:UKM00003334,MANCHESTER UK,20011008,163,99
GHCND:UKM00003334,MANCHESTER UK,20011009,152,109
GHCND:UKM00003334,MANCHESTER UK,20011010,161,106
GHCND:UKM00003334,MANCHESTER UK,20011011,200,-9999
GHCND:UKM00003334,MANCHESTER UK,20011013,184,120
GHCND:UKM00003334,MANCHESTER UK,20011014,-9999,141
GHCND:UKM00003334,MANCHESTER UK,20011016,-9999,89
GHCND:UKM00003334,MANCHESTER UK,20011017,171,124
GHCND:UKM00003334,MANCHESTER UK,20011018,171,-9999
GHCND:UKM00003334,MANCHESTER UK,20011019,-9999,81
GHCND:UKM00003334,MANCHESTER UK,20011021,-9999,65
GHCND:UKM00003334,MANCHESTER UK,20011022,155,108
GHCND:UKM00003334,MANCHESTER UK,20011025,-9999,85
GHCND:UKM00003334,MANCHESTER UK,20011026,125,98
GHCND:UKM00003334,MANCHESTER UK,20011027,153,79
GHCND:UKM00003334,MANCHESTER UK,20011028,151,64
GHCND:UKM00003334,MANCHESTER UK,20011029,-9999,69
GHCND:UKM00003334,MANCHESTER UK,20011031,122,-9999
GHCND:UKM00003334,MANCHESTER UK,20011101,133,45
GHCND:UKM00003334,MANCHESTER UK,20011102,141,-9999
